subject_prefix,course_code,course_name,section,crn,instructor,schedule,type,status,credits
ANST-UA,ANST-UA 323,,001,5495,Staff,TR 2-3:15p,Lecture,Open,1
ANST-UA,ANST-UA 500,,001,5489,Staff,T 8-10:30a,Seminar,Open,1
ANST-UA,ANST-UA 600,,001,5481,Staff,MW 2-3:15p,Seminar,Open,1
ANST-UA,ANST-UA 600,,002,5482,Staff,F 2-4:30p,Seminar,Open,1
ANST-UA,ANST-UA 600,,003,5483,Staff,MW 12:30-1:45p,Seminar,Open,1
ANST-UA,ANST-UA 600,,004,5484,Staff,TR 11a-12:15p,Seminar,Open,1
ANST-UA,ANST-UA 600,,005,5485,Staff,TR 3:30-4:45p,Seminar,Open,1
ANTH-UA,ANTH-UA 1,,001,8369,Staff,TR 9:30-10:45a,Lecture,Open,7
ANTH-UA,ANTH-UA 1,,002,8370,Staff,R 11a-12:15p,Recitation,Open,7
ANTH-UA,ANTH-UA 1,,003,8371,Staff,R 12:30-1:45p,Recitation,Open,7
ANTH-UA,ANTH-UA 1,,004,8372,Staff,R 4:55-6:10p,Recitation,Open,7
ANTH-UA,ANTH-UA 1,,005,8374,Staff,F 8-9:15a,Recitation,Open,7
ANTH-UA,ANTH-UA 1,,006,8373,Staff,F 9:30-10:45a,Recitation,Open,7
ANTH-UA,ANTH-UA 1,,007,8375,Staff,F 12:30-1:45p,Recitation,Open,7
ANTH-UA,ANTH-UA 106,,001,8385,Staff,TR 11a-12:15p,Seminar,Open,1
ANTH-UA,ANTH-UA 129,,001,8388,Staff,M 6:20-8:50p,Seminar,Open,1
ANTH-UA,ANTH-UA 140,,001,8416,Staff,MW 3:30-4:45p,Lecture,Open,1
ANTH-UA,ANTH-UA 142,,001,8413,Staff,W 2-4:30p,Lecture,Open,3
ANTH-UA,ANTH-UA 142,,002,8414,Staff,F 8-9:15a,Recitation,Open,3
ANTH-UA,ANTH-UA 142,,003,8415,Staff,F 9:30-10:45a,Recitation,Open,3
ANTH-UA,ANTH-UA 143,,001,8419,Staff,TR 2-3:15p,Seminar,Open,1
ANTH-UA,ANTH-UA 2,,001,8376,Staff,MW 11a-12:15p,Lecture,Open,9
ANTH-UA,ANTH-UA 2,,002,8377,Staff,M 3:30-4:45p,Lab,Open,9
ANTH-UA,ANTH-UA 2,,003,8378,Staff,M 4:55-6:10p,Lab,Open,9
ANTH-UA,ANTH-UA 2,,004,8379,Staff,T 8-9:15a,Lab,Open,9
ANTH-UA,ANTH-UA 2,,005,8380,Staff,T 9:30-10:45a,Lab,Open,9
ANTH-UA,ANTH-UA 2,,006,8381,Staff,T 12:30-1:45p,Lab,Open,9
ANTH-UA,ANTH-UA 2,,007,8382,Staff,T 2-3:15p,Lab,Open,9
ANTH-UA,ANTH-UA 2,,008,8383,Staff,W 8-9:15a,Lab,Open,9
ANTH-UA,ANTH-UA 2,,009,8384,Staff,W 9:30-10:45a,Lab,Open,9
ANTH-UA,ANTH-UA 205,,001,8387,Staff,MW 12:30-1:45p,Seminar,Open,1
ANTH-UA,ANTH-UA 207,,001,8386,Staff,TR 12:30-1:45p,Lecture,Open,1
ANTH-UA,ANTH-UA 231,,001,8412,Staff,R 2-4:30p,Lecture,Open,1
ANTH-UA,ANTH-UA 236,,001,8418,Staff,TR 11a-12:15p,Lecture,Open,1
ANTH-UA,ANTH-UA 301,,001,8409,Staff,W 11a-1:30p,Lecture,Open,1
ANTH-UA,ANTH-UA 301,,002,8410,Staff,T 2-4:30p,Lecture,Open,1
ANTH-UA,ANTH-UA 302,,001,8390,Staff,MW 9:30-10:45a,Seminar,Open,1
ANTH-UA,ANTH-UA 303,,001,8389,Staff,TR 3:30-4:45p,Lecture,Open,1
ANTH-UA,ANTH-UA 800,,001,8391,Staff,MW 4:55-6:10p,Seminar,Open,1
ANTH-UA,ANTH-UA 901,,001,8392,Staff,W 8-9:15a,Independent,Open,1
ANTH-UA,ANTH-UA 903,,001,8393,Staff,Does Not Meet,Seminar,Open,3
ANTH-UA,ANTH-UA 903,,002,8394,Staff,Does Not Meet,Seminar,Open,3
ANTH-UA,ANTH-UA 903,,003,8395,Staff,Does Not Meet,Seminar,Open,3
ANTH-UA,ANTH-UA 905,,001,8396,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,002,8397,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,003,8398,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,004,8399,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,005,8400,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,006,8401,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,007,8402,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,008,8403,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,009,8404,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,010,8405,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,011,8406,Staff,Does Not Meet,Independent,Open,12
ANTH-UA,ANTH-UA 905,,012,8407,Staff,Does Not Meet,Independent,Open,12
ARTH-UA,ARTH-UA 10,,001,8326,Staff,TR 3:30-4:45p,Lecture,Open,5
ARTH-UA,ARTH-UA 10,,002,8327,Staff,F 11a-12:15p,Recitation,Open,5
ARTH-UA,ARTH-UA 10,,003,8328,Staff,F 12:30-1:45p,Recitation,Open,5
ARTH-UA,ARTH-UA 10,,004,8329,Staff,F 2-3:15p,Recitation,Open,5
ARTH-UA,ARTH-UA 10,,005,8330,Staff,F 3:30-4:45p,Recitation,Open,5
ARTH-UA,ARTH-UA 103,,001,21998,Staff,MW 12:30-1:45p,Lecture,Open,1
ARTH-UA,ARTH-UA 250,,001,21999,Staff,MW 2-3:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 350,,001,8333,Staff,TR 3:30-4:45p,Lecture,Open,1
ARTH-UA,ARTH-UA 4,,001,8324,Staff,MW 4:55-6:10p,Lecture,Open,1
ARTH-UA,ARTH-UA 409,,001,8334,Staff,MW 12:30-1:45p,Lecture,Open,1
ARTH-UA,ARTH-UA 450,,001,8335,Staff,TR 11a-12:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 450,,002,8336,Staff,TR 11a-12:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 450,,003,8337,Staff,MW 4:55-6:10p,Lecture,Open,2
ARTH-UA,ARTH-UA 450,,004,8338,Staff,TR 2-3:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 450,,005,8339,Staff,MW 3:30-4:45p,Lecture,Open,1
ARTH-UA,ARTH-UA 450,,006,21793,Staff,TR 9:30-10:45a,Lecture,Open,2
ARTH-UA,ARTH-UA 6,,001,8325,Staff,TR 12:30-1:45p,Lecture,Open,1
ARTH-UA,ARTH-UA 601,,001,8341,Staff,MW 9:30-10:45a,Lecture,Open,1
ARTH-UA,ARTH-UA 650,,001,8342,Staff,M 3:30-6:10p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,002,8343,Staff,W 9:30a-12:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,003,8344,Staff,T 3:30-6:10p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,004,8345,Staff,R 9:30a-12:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,005,8346,Staff,M 4:55-7:25p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,006,8347,Staff,W 2-4:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 650,,007,8348,Staff,T 5:10-7:40p,Seminar,Open,1
ARTH-UA,ARTH-UA 661,,001,8349,Staff,TR 2-3:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 663,,001,8350,Staff,MW 2-3:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 670,,001,8351,Staff,R 4:55-7:25p,Seminar,Open,1
ARTH-UA,ARTH-UA 671,,001,8352,Staff,W 4:55-7:25p,Seminar,Open,1
ARTH-UA,ARTH-UA 672,,001,8353,Staff,R 2-4:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 673,,001,8354,Staff,T 12:30-3:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 674,,001,8355,Staff,W 2-4:30p,Seminar,Open,1
ARTH-UA,ARTH-UA 676,,001,8356,Staff,T 9:30a-12:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,001,8357,Staff,M 11a-1:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,002,8358,Staff,T 2-5p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,003,8359,Staff,T 9:30a-12:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,004,8360,Staff,M 2-4:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,005,8361,Staff,R 9:30a-12:15p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,006,8362,Staff,W 11a-1:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 800,,007,14728,Staff,R 6:20-9p,Seminar,Open,1
ARTH-UA,ARTH-UA 801,,001,8363,Staff,M 11a-1:45p,Seminar,Open,1
ARTH-UA,ARTH-UA 804,,001,8364,Staff,Does Not Meet,Independent,Open,2
ARTH-UA,ARTH-UA 804,,002,8365,Staff,Does Not Meet,Independent,Open,2
ARTH-UA,ARTH-UA 850,,001,8366,Staff,MW 9:30-10:45a,Lecture,Open,1
ARTH-UA,ARTH-UA 850,,002,8367,Staff,W 9:30a-12:15p,Lecture,Open,1
ARTH-UA,ARTH-UA 850,,003,8368,Staff,TR 4:55-6:10p,Lecture,Open,1
ARTH-UA,ARTH-UA 850,,004,9652,Staff,MW 11a-12:15p,Lecture,Open,1
